"date","CILeft","CIRight","Pred","Poll","PollDiff"
"2020-03-03",0.649984412321729,0.326334943358659,0.488159677840194,NA,NA
"2020-03-04",0.648307439064826,0.326181195469195,0.487244317267011,NA,NA
"2020-03-05",0.647294024731529,0.325532095581783,0.486413060156656,NA,NA
"2020-03-06",0.645497755154985,0.326041408374929,0.485769581764957,NA,NA
"2020-03-07",0.64726825321304,0.326395059412835,0.486831656312938,NA,NA
"2020-03-08",0.648980162195798,0.326652081424424,0.487816121810111,NA,NA
"2020-03-09",0.649892331392854,0.327511687996676,0.488702009694765,NA,NA
"2020-03-10",0.650158542581807,0.32906988636263,0.489614214472219,NA,NA
"2020-03-11",0.650910752776584,0.330456342137237,0.490683547456911,NA,NA
"2020-03-12",0.651235339668009,0.331923227032936,0.491579283350473,NA,NA
"2020-03-13",0.652179874081171,0.332939898802501,0.492559886441836,NA,NA
"2020-03-14",0.652318408859744,0.334749786199771,0.493534097529757,NA,NA
"2020-03-15",0.653240078854606,0.336299570653787,0.494769824754196,NA,NA
"2020-03-16",0.653888442714987,0.337570744878866,0.495729593796927,NA,NA
"2020-03-17",0.65363094865106,0.339942587226388,0.496786767938724,NA,NA
"2020-03-18",0.653398048164104,0.341977701037116,0.49768787460061,NA,NA
"2020-03-19",0.653592255918005,0.341085526860637,0.497338891389321,NA,NA
"2020-03-20",0.652873595018568,0.341027705660628,0.496950650339598,NA,NA
"2020-03-21",0.6526260185665,0.34103645128936,0.49683123492793,NA,NA
"2020-03-22",0.652137660606667,0.341066431879329,0.496602046242998,NA,NA
"2020-03-23",0.65089532240898,0.341467977827351,0.496181650118165,NA,NA
"2020-03-24",0.648962358511437,0.343229379466049,0.496095868988743,NA,NA
"2020-03-25",0.647592582384502,0.343789849481131,0.495691215932816,NA,NA
"2020-03-26",0.646906612580771,0.343321234368526,0.495113923474648,NA,NA
"2020-03-27",0.646256423674498,0.342855302136984,0.494555862905741,NA,NA
"2020-03-28",0.644450802783703,0.343061351924233,0.493756077353968,NA,NA
"2020-03-29",0.64196525447613,0.344356507908575,0.493160881192352,NA,NA
"2020-03-30",0.63956341838968,0.345361271143192,0.492462344766436,NA,NA
"2020-03-31",0.63686354160171,0.346679883899211,0.49177171275046,NA,NA
"2020-04-01",0.638372205820033,0.348034346747352,0.493203276283693,NA,NA
"2020-04-02",0.638364707996598,0.350027125400861,0.494195916698729,NA,NA
"2020-04-03",0.63891399519378,0.351570102893653,0.495242049043717,NA,NA
"2020-04-04",0.63933655115997,0.353045770319508,0.496191160739739,NA,NA
"2020-04-05",0.638703938786985,0.355763299618145,0.497233619202565,NA,NA
"2020-04-06",0.637685014427841,0.358661456867353,0.498173235647597,NA,NA
"2020-04-07",0.643445558549932,0.36595309663858,0.504699327594256,NA,NA
"2020-04-08",0.644723977879586,0.366146749040222,0.505435363459904,NA,NA
"2020-04-09",0.644563986449077,0.367265914185648,0.505914950317362,NA,NA
"2020-04-10",0.644420062454977,0.368706485692378,0.506563274073678,NA,NA
"2020-04-11",0.644302087715521,0.370385282814108,0.507343685264815,NA,NA
"2020-04-12",0.643634222830132,0.371075462647,0.507354842738566,NA,NA
"2020-04-13",0.643158502322478,0.372095806768851,0.507627154545664,NA,NA
"2020-04-14",0.642103305790483,0.373748387849344,0.507925846819913,NA,NA
"2020-04-15",0.644520301463728,0.376456633308961,0.510488467386345,NA,NA
"2020-04-16",0.644173095080469,0.376206693516229,0.510189894298349,NA,NA
"2020-04-17",0.643458048233081,0.376313036974223,0.509885542603652,NA,NA
"2020-04-18",0.645029903640351,0.376967879275121,0.510998891457736,NA,NA
"2020-04-19",0.64709759034799,0.377497714340778,0.512297652344384,NA,NA
"2020-04-20",0.647806933269662,0.379277493584458,0.51354221342706,NA,NA
"2020-04-21",0.648325647272321,0.381409181042012,0.514867414157167,NA,NA
"2020-04-22",0.648455240009469,0.383770942608243,0.516113091308856,NA,NA
"2020-04-23",0.647856312516377,0.387023447868214,0.517439880192296,NA,NA
"2020-04-24",0.645958038368686,0.388399566386805,0.517178802377745,NA,NA
"2020-04-25",0.643494461951437,0.386859405470759,0.515176933711098,NA,NA
"2020-04-26",0.64046886062424,0.385830606382865,0.513149733503553,NA,NA
"2020-04-27",0.639856715882032,0.386319498418223,0.513088107150128,NA,NA
"2020-04-28",0.640060464003525,0.386083606551501,0.513072035277513,NA,NA
"2020-04-29",0.639498627938403,0.38691470902372,0.513206668481061,NA,NA
"2020-04-30",0.638467638428313,0.388301141004279,0.513384389716296,NA,NA
"2020-05-01",0.638107538497201,0.389236467584375,0.513672003040788,NA,NA
"2020-05-02",0.636636550143713,0.391199038245719,0.513917794194716,NA,NA
"2020-05-03",0.634046514599309,0.391117989059594,0.512582251829451,NA,NA
"2020-05-04",0.631938769229181,0.389997226843858,0.510967998036519,NA,NA
"2020-05-05",0.627935984544747,0.390922767816181,0.509429376180464,NA,NA
"2020-05-06",0.629190078938785,0.392357438402519,0.510773758670652,NA,NA
"2020-05-07",0.62950674569176,0.394456885777104,0.511981815734432,NA,NA
"2020-05-08",0.628108328731869,0.39318598558873,0.5106471571603,NA,NA
"2020-05-09",0.62561489619408,0.393553301742091,0.509584098968086,NA,NA
"2020-05-10",0.623066083525636,0.393623105268131,0.508344594396884,NA,NA
"2020-05-11",0.617006429675506,0.390392698233312,0.503699563954409,NA,NA
"2020-05-12",0.622331141899502,0.400348897230815,0.511340019565158,NA,NA
"2020-05-13",0.618118168004588,0.39519826453667,0.506658216270629,NA,NA
